OUTFGAF Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/17/2008,8/17/2008,9/17/2008,10/17/2008,11/17/2008,12/17/2008,1/17/2009,2/17/2009,3/17/2009,4/17/2009,5/17/2009,6/17/2009,7/17/2009,8/17/2009,9/17/2009,10/17/2009,11/17/2009,12/17/2009,1/17/2010,2/17/2010,3/17/2010,4/17/2010,5/17/2010,6/17/2010,7/17/2010,8/17/2010,9/17/2010,10/17/2010,11/17/2010,12/17/2010,1/17/2011,2/17/2011,3/17/2011,4/17/2011,5/17/2011,6/17/2011,7/17/2011,8/17/2011,9/17/2011,10/17/2011,11/17/2011,12/17/2011,1/17/2012,2/17/2012,3/17/2012,4/17/2012,5/17/2012,6/17/2012,7/17/2012,8/17/2012,9/17/2012,10/17/2012,11/17/2012,12/17/2012,1/17/2013,2/17/2013,3/17/2013,4/17/2013,5/17/2013,6/17/2013,7/17/2013
Francesca Panelli Banca Aletti & C spa,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,-1,0,-1,1,-1,1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,1,-1
Gabriel Casillas Banorte-IXE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,-1,-1,1,0,-1,-1,1
Guy Verberne ABN Amro Bank,-1,-1,1,-1,-1,1,1,-1,1,-1,0,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harris/Coffin/Cummins UBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
Heinrich Engelke Landesbank Berlin,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hiroki Shimazu SMBC Nikko Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1
Hu/Garatti C I T I C Securities,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugh Johnson Hugh Johnson Advisors,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,-1,0,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Ian Morris HSBC Markets,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson High Frequency Economics,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,-1,0,1,0,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
