RSTAXAG% Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/13/2009,9/13/2009,10/13/2009,11/13/2009,12/13/2009,1/13/2010,2/13/2010,3/13/2010,4/13/2010,5/13/2010,6/13/2010,7/13/2010,8/13/2010,9/13/2010,10/13/2010,11/13/2010,12/13/2010,1/13/2011,2/13/2011,3/13/2011,4/13/2011,5/13/2011,6/13/2011,7/13/2011,8/13/2011,9/13/2011,10/13/2011,11/13/2011,12/13/2011,1/13/2012,2/13/2012,3/13/2012,4/13/2012,5/13/2012,6/13/2012,7/13/2012,8/13/2012,9/13/2012,10/13/2012,11/13/2012,12/13/2012,1/13/2013,2/13/2013,3/13/2013,4/13/2013,5/13/2013,6/13/2013,7/13/2013
Mufteeva/Julien Natixis,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Karp BBVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1
Neal Soss Credit Suisse,-1,0,0,0,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,-1,0,1,0,0,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1
Neil Dutta Renaissance Macro Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
P. Ashworth/P. Dales Capital Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter D'Antonio Citi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Morici University of Maryland,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possing/Roed-Frederiksen Danske Bank,0,0,0,-1,-1,-1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Herbert Lloyds Tsb Bank Plc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Richard DeKaser Parthenon Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Price Ameriprise Financial Inc,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1
Ryan Wang HSBC Markets,0,0,0,0,0,-1,0,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,0,1,0,1,-1,1,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,1,1,-1
Scott Brown Raymond James,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,-1,0,-1,-1,1,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastien Lavoie Laurentian Bank Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
