ADP CHNG Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/08,9/30/08,10/30/08,11/30/08,12/30/08,1/30/09,2/28/09,3/30/09,4/30/09,5/30/09,6/30/09,7/30/09,8/30/09,9/30/09,10/30/09,11/30/09,12/30/09,1/30/10,2/28/10,3/30/10,4/30/10,5/30/10,6/30/10,7/30/10,8/30/10,9/30/10,10/30/10,11/30/10,12/30/10,1/30/11,2/28/11,3/30/11,5/30/11,6/30/11,7/30/11,8/30/11,10/30/11,11/30/11,12/30/11,1/30/12,2/29/12,3/30/12,4/30/12,5/30/12,7/30/12,8/30/12,9/30/12,10/30/12,11/30/12,12/30/12,1/30/13,2/28/13,3/30/13,4/30/13,5/30/13,6/30/13,7/30/13
Kevin Harris Informa Global Markets,0,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0,0
Knightley/Carnell/Brosens ING Financial Markets,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,1,-1,1,1,1,1,0,-1,-1,0,-1,-1,-1,-1,0
Lena Komileva Tullett Prebon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Littleton/Sloan Thomson Reuters/IFR,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Schomer PineBridge Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matthias Huth Landesbank BW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Clarke IDEAglobal,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,0,1,-1,-1,-1,1
Mike Englund Action Economics,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1
Mufteeva/Julien Natixis,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,-1,-1,-1,-1
Nathaniel Karp BBVA,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,1,0,1,1,0,0,-1,-1,1,1,0,0,0,1,-1,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
